               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10861,            0.067478,            0.041124,            0.036068,            0.099564,             0.02069,           0.0039502,            0.078495,            0.042209,            0.035129,             0.00045,             0.00045,             0.09595
                   1,            0.085294,            0.086697,             0.03781,             0.22476,             0.34218,             0.21636,            0.068875,            0.063958,            0.038435,            0.031912,           0.0009098,           0.0009098,             0.09181
                   2,            0.068144,            0.068686,            0.035891,             0.32871,             0.60661,             0.39844,             0.16268,            0.050111,            0.035745,            0.028849,           0.0013688,           0.0013688,            0.087669
                   3,            0.057613,            0.061109,            0.034165,              0.3911,             0.56648,             0.43322,             0.18949,            0.046993,            0.027155,            0.024891,           0.0018263,           0.0018263,            0.083526
                   4,            0.054328,            0.047641,            0.030716,             0.39045,             0.64285,             0.45685,             0.17652,            0.048145,            0.025951,             0.02272,           0.0022819,           0.0022819,            0.079382
                   5,            0.055178,            0.048954,            0.027974,             0.36301,             0.65605,             0.44895,             0.17341,            0.045887,            0.023944,            0.019604,           0.0027348,           0.0027348,            0.075235
                   6,            0.053498,            0.044487,            0.024037,             0.44432,             0.64968,             0.51315,               0.188,            0.046385,            0.024354,            0.016689,           0.0031844,           0.0031844,            0.071084
                   7,            0.051201,            0.046052,            0.021481,             0.33618,             0.68852,             0.42168,             0.18499,             0.04863,            0.026668,             0.01561,           0.0036302,           0.0036302,             0.06693
                   8,            0.055847,            0.051413,            0.021585,             0.47247,             0.71034,             0.63511,             0.23772,            0.046898,            0.022922,            0.014433,           0.0040716,           0.0040716,            0.062772
                   9,            0.052359,            0.051443,            0.020585,             0.41268,             0.68304,              0.5572,             0.27549,            0.043826,            0.022295,            0.014197,            0.004508,            0.004508,            0.058608
                  10,            0.050898,            0.048815,            0.018941,              0.3287,              0.7199,             0.44705,             0.19983,            0.051115,            0.022141,            0.013669,           0.0049388,           0.0049388,            0.054439
                  11,            0.055272,            0.053555,            0.019248,             0.47832,             0.70025,             0.55808,             0.29199,            0.044915,              0.0212,            0.013561,           0.0053634,           0.0053634,            0.050263
                  12,            0.048583,            0.036647,            0.017239,             0.60406,             0.71406,             0.68156,             0.41425,            0.037073,            0.023104,            0.012634,           0.0057813,           0.0057813,            0.046081
                  13,            0.050008,            0.048856,             0.01823,             0.57288,             0.68433,             0.65009,             0.25594,              0.0446,             0.02058,            0.012013,            0.006192,            0.006192,            0.041892
                  14,            0.053044,            0.048279,            0.016497,             0.60502,             0.61997,             0.61008,             0.19159,            0.051279,            0.020373,            0.010376,           0.0065949,           0.0065949,            0.037695
                  15,            0.050091,            0.039718,            0.014494,             0.69157,             0.71551,             0.74353,             0.34551,            0.039275,            0.021108,            0.011182,           0.0069895,           0.0069895,             0.03349
                  16,            0.047695,            0.043976,            0.014629,              0.7201,             0.70262,             0.76357,             0.35051,            0.036736,            0.020373,            0.010053,           0.0073753,           0.0073753,            0.029275
                  17,            0.048994,            0.041205,            0.014554,             0.48928,             0.70762,             0.63705,             0.30987,            0.047327,            0.020057,            0.010132,           0.0077518,           0.0077518,            0.025052
                  18,            0.047213,            0.040049,            0.014049,               0.725,             0.61924,             0.71253,             0.38246,            0.038175,            0.021848,            0.011576,           0.0081184,           0.0081184,            0.020818
                  19,              0.0451,            0.044218,             0.01421,               0.747,             0.79474,             0.80703,             0.45135,            0.033396,             0.01986,             0.01119,           0.0084749,           0.0084749,            0.016575
                  20,             0.04425,            0.035811,            0.012746,             0.66739,             0.72176,             0.74596,             0.42429,            0.035788,            0.020372,           0.0094174,           0.0088207,           0.0088207,            0.012321
                  21,            0.043495,            0.042322,            0.013503,             0.73567,             0.75506,              0.7697,             0.47525,            0.031828,            0.021567,            0.011756,           0.0090557,           0.0090557,           0.0090557
                  22,            0.041355,            0.036561,             0.01307,              0.7014,             0.75023,             0.77409,             0.46149,            0.034558,            0.022445,            0.011512,           0.0090557,           0.0090557,           0.0090557
                  23,             0.04475,            0.047219,            0.012934,             0.58239,             0.74744,             0.64569,             0.38421,            0.032098,            0.021986,            0.024501,           0.0089673,           0.0089673,           0.0089673
                  24,            0.039845,             0.04382,            0.011635,             0.73771,             0.74349,             0.80708,             0.48245,            0.032865,            0.020246,            0.010646,           0.0088755,           0.0088755,           0.0088755
                  25,            0.038943,             0.04722,            0.011069,             0.76872,             0.70881,             0.77222,             0.48337,            0.030204,             0.02298,            0.012702,           0.0087804,           0.0087804,           0.0087804
                  26,            0.036634,            0.041701,            0.010813,             0.83331,             0.76488,             0.84806,             0.53875,            0.031609,            0.020707,           0.0092134,            0.008682,            0.008682,            0.008682
                  27,            0.036679,            0.043898,            0.010962,             0.78448,             0.76858,             0.81571,             0.53536,             0.02819,            0.021094,            0.011558,           0.0085805,           0.0085805,           0.0085805
                  28,            0.034193,            0.037266,            0.010403,             0.83071,             0.71298,             0.80842,             0.53164,            0.030326,            0.021943,            0.012041,           0.0084759,           0.0084759,           0.0084759
                  29,            0.033481,            0.030421,             0.01055,             0.77018,             0.80817,             0.83144,              0.5793,            0.027498,                0.02,           0.0095212,           0.0083684,           0.0083684,           0.0083684
                  30,            0.030646,            0.036915,           0.0089421,             0.78106,              0.7906,             0.83524,               0.569,             0.02593,            0.021521,           0.0090536,           0.0082581,           0.0082581,           0.0082581
                  31,            0.030902,            0.034938,            0.010465,             0.79211,             0.83756,             0.86208,             0.58329,            0.026269,            0.020233,           0.0074803,            0.008145,            0.008145,            0.008145
                  32,            0.033431,            0.047354,           0.0093401,             0.77598,             0.76897,             0.83208,             0.53481,            0.028587,            0.020226,           0.0093966,           0.0080294,           0.0080294,           0.0080294
                  33,            0.033368,            0.040764,           0.0098472,             0.75005,             0.82789,             0.84118,             0.57594,            0.026401,            0.020377,           0.0088017,           0.0079112,           0.0079112,           0.0079112
                  34,            0.030934,            0.032681,           0.0087469,             0.79812,             0.75049,             0.82543,             0.51169,            0.029051,            0.021038,            0.011187,           0.0077907,           0.0077907,           0.0077907
                  35,            0.031259,            0.041858,            0.009417,             0.71639,             0.84348,             0.81916,             0.55155,            0.026688,            0.019227,            0.010792,           0.0076679,           0.0076679,           0.0076679
                  36,            0.029185,            0.039493,           0.0088635,             0.73239,             0.78043,             0.80376,             0.55197,            0.025789,            0.020498,            0.013476,            0.007543,            0.007543,            0.007543
                  37,            0.029838,            0.037214,           0.0089834,             0.74722,             0.81349,                0.82,             0.54975,            0.025554,            0.019746,            0.011236,            0.007416,            0.007416,            0.007416
                  38,            0.029619,            0.037981,           0.0081695,             0.76765,              0.7862,             0.83807,             0.57985,            0.025809,            0.020562,            0.010351,           0.0072872,           0.0072872,           0.0072872
                  39,            0.030793,            0.043272,           0.0091281,             0.75775,             0.80041,             0.82816,             0.54086,            0.028018,            0.019292,           0.0098236,           0.0071566,           0.0071566,           0.0071566
                  40,             0.03254,            0.039388,           0.0089365,              0.7368,             0.81159,             0.82987,             0.57303,            0.024356,            0.019633,            0.010211,           0.0070243,           0.0070243,           0.0070243
                  41,            0.028643,            0.032397,           0.0069922,             0.81269,               0.779,             0.85466,             0.58152,            0.024814,            0.019145,            0.010439,           0.0068906,           0.0068906,           0.0068906
                  42,            0.027535,            0.035661,            0.007901,             0.75226,             0.83721,             0.84933,             0.57274,            0.025871,            0.020135,            0.010623,           0.0067555,           0.0067555,           0.0067555
                  43,            0.028585,            0.041041,           0.0082054,             0.75169,             0.84417,             0.83247,             0.58027,            0.023628,             0.01888,              0.0103,           0.0066191,           0.0066191,           0.0066191
                  44,            0.027148,            0.039007,           0.0082662,             0.70939,             0.83747,             0.83017,              0.5819,            0.023794,            0.020262,           0.0095947,           0.0064816,           0.0064816,           0.0064816
                  45,            0.028748,            0.049098,            0.010111,             0.77394,             0.82058,             0.83962,             0.58686,            0.023707,            0.018895,            0.009059,           0.0063432,           0.0063432,           0.0063432
                  46,            0.026819,            0.042282,           0.0077433,             0.74792,              0.8067,             0.82509,             0.57108,            0.024533,            0.019366,            0.010492,            0.006204,            0.006204,            0.006204
                  47,             0.02661,            0.036662,           0.0078318,             0.80241,             0.79764,             0.83733,             0.56978,            0.026917,            0.019444,           0.0093055,            0.006064,            0.006064,            0.006064
                  48,            0.027388,            0.030802,           0.0077561,             0.73497,             0.76754,             0.79087,             0.55769,            0.025197,            0.022684,             0.01072,           0.0059235,           0.0059235,           0.0059235
                  49,            0.028322,            0.040434,           0.0081971,             0.78724,             0.78896,             0.83038,             0.55846,              0.0254,            0.019706,           0.0094937,           0.0057826,           0.0057826,           0.0057826
                  50,            0.026159,            0.039352,           0.0072356,             0.77532,             0.84849,             0.86117,             0.61776,            0.023551,            0.019355,           0.0098724,           0.0056413,           0.0056413,           0.0056413
                  51,            0.025494,            0.038088,            0.006515,             0.79027,             0.80655,             0.83668,             0.59815,            0.023226,            0.019092,           0.0097101,              0.0055,              0.0055,              0.0055
                  52,            0.025892,            0.036504,           0.0061182,             0.74937,              0.8136,             0.82685,             0.56337,            0.025162,            0.019723,            0.010531,           0.0053587,           0.0053587,           0.0053587
                  53,            0.025728,            0.034584,           0.0063797,             0.79754,             0.83554,             0.85507,             0.61633,            0.022965,            0.019564,           0.0077439,           0.0052174,           0.0052174,           0.0052174
                  54,            0.024158,            0.031779,           0.0059848,             0.78936,             0.85748,              0.8601,             0.62575,            0.023581,            0.019787,           0.0076266,           0.0050765,           0.0050765,           0.0050765
                  55,            0.024328,            0.037865,           0.0061062,             0.78554,             0.85455,              0.8574,             0.62145,             0.02313,            0.019695,           0.0090519,            0.004936,            0.004936,            0.004936
                  56,            0.024941,             0.04017,           0.0060566,             0.77671,             0.80203,             0.84604,             0.60276,            0.023097,            0.020136,           0.0095244,            0.004796,            0.004796,            0.004796
                  57,            0.024576,            0.030875,           0.0059411,             0.73435,             0.86242,             0.84709,             0.60807,            0.023632,            0.020117,            0.009025,           0.0046568,           0.0046568,           0.0046568
                  58,            0.024361,            0.034269,            0.005567,             0.81807,             0.82805,             0.85198,             0.60134,            0.022803,            0.019714,           0.0091669,           0.0045184,           0.0045184,           0.0045184
                  59,            0.024009,            0.031036,           0.0048019,             0.83759,             0.80452,             0.84627,             0.61343,            0.022769,            0.020529,           0.0084218,           0.0043809,           0.0043809,           0.0043809
                  60,            0.024231,            0.028864,           0.0062519,             0.77459,             0.82562,             0.84532,             0.61068,            0.024067,            0.021366,            0.010309,           0.0042445,           0.0042445,           0.0042445
                  61,            0.023907,            0.032832,           0.0052457,             0.79145,             0.82572,              0.8465,             0.61262,            0.023176,            0.020455,           0.0089938,           0.0041094,           0.0041094,           0.0041094
                  62,            0.023117,            0.033863,           0.0054158,             0.79397,             0.80619,             0.83368,             0.60033,            0.023126,            0.020036,           0.0096644,           0.0039757,           0.0039757,           0.0039757
                  63,            0.022818,            0.027665,           0.0049322,              0.7783,             0.82022,             0.84887,             0.61936,            0.022782,            0.019647,            0.010038,           0.0038434,           0.0038434,           0.0038434
                  64,            0.023608,            0.035575,           0.0050995,             0.81772,             0.80454,             0.86544,             0.63843,            0.022429,            0.019404,           0.0094338,           0.0037128,           0.0037128,           0.0037128
                  65,            0.022922,            0.042322,           0.0063708,             0.79123,             0.85318,             0.86746,             0.63678,            0.022642,            0.019334,           0.0085502,            0.003584,            0.003584,            0.003584
                  66,            0.022613,            0.036636,           0.0059087,             0.79863,             0.83546,             0.86232,             0.62976,            0.022249,            0.019557,           0.0086653,            0.003457,            0.003457,            0.003457
                  67,            0.022176,            0.033381,           0.0048617,             0.83049,             0.81504,             0.86014,             0.62442,            0.022115,            0.019497,           0.0095313,           0.0033321,           0.0033321,           0.0033321
